Station ID,Message,,,
014321000,No data available,,,
014192500,No data available,,,
02220550,No data available,,,
04169500,No data available,,,
014196000,No data available,,,
02088470,No data available,,,
012324590,No data available,,,
03209200,No data available,,,
012059500,No data available,,,
04066800,No data available,,,
02440000,No data available,,,
08068520,No data available,,,
011167800,No data available,,,
02444500,No data available,,,
09258000,No data available,,,
012113347,No data available,,,
011115500,No data available,,,
014022200,No data available,,,
04014500,No data available,,,
05523500,No data available,,,
05376000,No data available,,,
04114500,No data available,,,
011176500,No data available,,,
010310500,No data available,,,
03111150,No data available,,,
014088000,No data available,,,
04240300,No data available,,,
012105900,No data available,,,
05440500,No data available,,,
010965995,No data available,,,
01089000,No data available,,,
010259100,No data available,,,
04173000,No data available,,,
011260480,No data available,,,
06359000,No data available,,,
09372400,No data available,,,
03114000,No data available,,,
02423000,No data available,,,
011149900,No data available,,,
08059500,No data available,,,
012323770,No data available,,,
04087142,No data available,,,
07288955,No data available,,,
01174600,No data available,,,
011375700,No data available,,,
011313485,No data available,,,
03292550,No data available,,,
010224100,No data available,,,
011238600,No data available,,,
06320500,No data available,,,
09346000,No data available,,,
013092000,No data available,,,
06197500,No data available,,,
05427570,No data available,,,
03069000,No data available,,,
012043000,No data available,,,
06889140,No data available,,,
011063680,No data available,,,
09401110,No data available,,,
012147500,No data available,,,
011234760,No data available,,,
06220500,No data available,,,
013196500,No data available,,,
09400568,No data available,,,
016068000,No data available,,,
015860000,No data available,,,
05568500,No data available,,,
010338500,No data available,,,
011269300,No data available,,,
011105510,No data available,,,
06906300,No data available,,,
014313500,No data available,,,
05468500,No data available,,,
09313000,No data available,,,
013047600,No data available,,,
04160900,No data available,,,
07117000,No data available,,,
03138500,No data available,,,
06271000,No data available,,,
011116550,No data available,,,
011123500,No data available,,,
011390000,No data available,,,
012413370,No data available,,,
011394500,No data available,,,
011290000,No data available,,,
010287655,No data available,,,
02236125,No data available,,,
08133900,No data available,,,
011027000,No data available,,,
011294500,No data available,,,
04126000,No data available,,,
06459500,No data available,,,
05502040,No data available,,,
02227000,No data available,,,
04150800,No data available,,,
03041000,No data available,,,
013077700,No data available,,,
02323500,No data available,,,
03372300,No data available,,,
07351748,No data available,,,
02476000,No data available,,,
09344400,No data available,,,
015106920,No data available,,,
03295000,No data available,,,
05536118,No data available,,,
014185900,No data available,,,
010319900,No data available,,,
06789000,No data available,,,
011141150,No data available,,,
011427750,No data available,,,
02340500,No data available,,,
02359051,No data available,,,
014209000,No data available,,,
011335655,No data available,,,
010322000,No data available,,,
010191500,No data available,,,
011144000,No data available,,,
01467688,No data available,,,
011044000,No data available,,,
014309000,No data available,,,
011277300,No data available,,,
013213000,No data available,,,
03361630,No data available,,,
012452890,No data available,,,
013217500,No data available,,,
07074000,No data available,,,
013313000,No data available,,,
02243960,No data available,,,
07070500,No data available,,,
03049676,No data available,,,
015012000,No data available,,,
011139000,No data available,,,
014046778,No data available,,,
04138000,No data available,,,
05120200,No data available,,,
